"Klant";"Groep";"Maandelijkse fee (klant)";"Maandelijkse fee (groep)";"Advertentiebudget (dossier)"
"Beauty Icon";"Icon BV";"€ 450";"";""
"Car Audio Limburg";"Car Audio Limburg";"";"";"[AAN TE VULLEN: officieel maandbudget bevestigen]. Indicatief huidige spend: ~€853/30 dagen samen over beide accounts (~€211 in de laatste 7 dagen)."
"Car Audio Limburg Studio";"Car Audio Limburg";"";"";""
"ConsentEase";"Saerens";"";"";""
"D Signit - Elektrische Boilers";"";"€ 250";"";""
"Fuitedetect";"LCS BV";"";"€ 500";""
"Goedkoopdrank";"MMA Distributie BV";"€ 300";"";""
"Kit d'urgence Belgique";"LCS BV";"";"€ 500";""
"Noodpakket België";"LCS BV";"";"€ 500";""
"Saerens Advertising";"Saerens";"";"";""
"Saerens.agency";"Saerens";"";"";""
"Sanidetect";"LCS BV";"";"€ 500";""
"Schoondak";"Schoonpannendak BV";"";"€ 1.000";""
"Schoonpannendak";"Schoonpannendak BV";"";"€ 1.000";"€5000 per maand"
"Schrever Cleaning";"";"€ 302";"";"€1.000 per maand"
"Waterlek";"LCS BV";"";"€ 500";""
"(groepsfee zonder aparte fiche)";"SIX agency";"";"€ 200";""

"TOTAAL fee (klantniveau)";"";"€ 1.302";"";""
"TOTAAL fee (groepniveau)";"";"";"€ 1.700";""
"TOTAAL maandelijkse omzet (fee)";"";"€ 3.002";"";""